Plantation year,Plot,height (cm),canopy width 1 (cm),canopy width 2 (cm),crown area (m2),CD Chatting (m),Chatting AGB       (kg),Chatting AGB (Mg/ha),Comley & McGuinness planted BGB            (kg),Comley & McGuinness planted BGB    (Mg/ha),Total tree (kg),Total tree (Mg/ha),Chatting AGC       (kg C),Chatting AGC (Mg C/ha),Comley & McGuinness planted BGC           (kg C),Comley & McGuinness planted BGC    (Mg C/ha),Total tree (kg C),Total tree (Mg C/ha),plot size (m2)
2017,20,150,30,25,0.059,0.28,0.1,0.013,0.092,0.012,0.192,0.025,0.048,0.006,0.036,0.005,0.084,0.011,76.969
2017,19,150,30,25,0.059,0.28,0.1,0.006,0.092,0.006,0.192,0.012,0.048,0.003,0.036,0.002,0.084,0.005,153.938
2017,1_new,149,91,86,0.615,0.89,1.22,0.486,1.126,0.448,2.347,0.934,0.586,0.233,0.439,0.175,1.025,0.408,25.133
2017,1_new,149,63,59,0.292,0.61,0.55,0.219,0.508,0.202,1.058,0.421,0.264,0.105,0.198,0.079,0.462,0.184,25.133
2017,21,149,100,95,0.747,0.98,1.501,0.195,1.386,0.18,2.887,0.375,0.721,0.094,0.54,0.07,1.261,0.164,76.969
2010,2,149,111,139,1.227,1.25,2.555,0.166,2.358,0.153,4.913,0.319,1.226,0.08,0.92,0.06,2.146,0.139,153.938
2017,16,149,109,95,0.817,1.02,1.654,0.107,1.526,0.099,3.18,0.207,0.794,0.052,0.595,0.039,1.389,0.09,153.938
2017,17,149,95,97,0.724,0.96,1.452,0.094,1.34,0.087,2.793,0.181,0.697,0.045,0.523,0.034,1.22,0.079,153.938
2017,3_new,149,33,41,0.108,0.37,0.189,0.075,0.174,0.069,0.363,0.144,0.091,0.036,0.068,0.027,0.159,0.063,25.133
2017,16,149,74,95,0.561,0.85,1.105,0.072,1.02,0.066,2.125,0.138,0.531,0.034,0.398,0.026,0.928,0.06,153.938
2017,18,149,38,25,0.078,0.32,0.134,0.017,0.123,0.016,0.257,0.033,0.064,0.008,0.048,0.006,0.112,0.015,76.969
2017,9,149,35,17,0.053,0.26,0.089,0.006,0.082,0.005,0.171,0.011,0.043,0.003,0.032,0.002,0.075,0.005,153.938
2010,7,148,176,199,2.761,1.88,6.084,0.395,5.616,0.365,11.7,0.76,2.921,0.19,2.19,0.142,5.111,0.332,153.938
2017,28,148,147,143,1.651,1.45,3.51,0.228,3.24,0.21,6.75,0.438,1.685,0.109,1.264,0.082,2.948,0.192,153.938
2010,6,148,110,98,0.849,1.04,1.724,0.112,1.591,0.103,3.315,0.215,0.827,0.054,0.62,0.04,1.448,0.094,153.938
