year,name,species,Plot, d30 , Height (m) , Height (cm) , Crown Dia (m) , Crown Dia (cm) , Crown Circum. (cm)  , LOG AGB AVI , Aboveground biomass (Kg) , Aboveground biomass (t/ha) , Belowground biomass (Kg) , Belowground biomass (t/ha) , Total biomass per ha (t/ha) , AGC (Kg) , BGC (Kg) , Total C (Kg) , Total C (t/ha) ," Btree l,j,p,i "
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.40 , 1.30 , 130.00 , 1.32 , 132 , 415 , 0.46 , 2.87 , 0.11 , 2.65 , 0.11 , 0.22 , 1.38 , 1.03 , 2.41 , 0.10 , 5.52 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 3.40 , 1.11 , 111.00 , 2.49 , 249 , 781 , 1.05 , 11.13 , 0.45 , 10.27 , 0.41 , 0.86 , 5.34 , 4.01 , 9.35 , 0.37 , 21.40 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.00 , 0.80 , 80.00 , 1.02 , 102 , 319 , 0.21 , 1.64 , 0.07 , 1.51 , 0.06 , 0.13 , 0.79 , 0.59 , 1.37 , 0.05 , 3.15 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 1.00 , 0.67 , 67.00 , 1.01 , 101 , 317 , 0.21 , 1.61 , 0.06 , 1.49 , 0.06 , 0.12 , 0.77 , 0.58 , 1.35 , 0.05 , 3.10 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.20 , 0.80 , 80.00 , 0.77 , 77 , 242 , (0.04), 0.91 , 0.04 , 0.84 , 0.03 , 0.07 , 0.43 , 0.33 , 0.76 , 0.03 , 1.74 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.10 , 0.71 , 71.00 , 0.90 , 90 , 283 , 0.10 , 1.27 , 0.05 , 1.17 , 0.05 , 0.10 , 0.61 , 0.46 , 1.07 , 0.04 , 2.44 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.40 , 0.90 , 90.00 , 0.94 , 94 , 294 , 0.14 , 1.37 , 0.05 , 1.27 , 0.05 , 0.11 , 0.66 , 0.49 , 1.15 , 0.05 , 2.64 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 3.40 , 1.05 , 105.00 , 2.38 , 238 , 747 , 1.00 , 10.10 , 0.40 , 9.32 , 0.37 , 0.78 , 4.85 , 3.64 , 8.48 , 0.34 , 19.42 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 1.90 , 0.90 , 90.00 , 0.77 , 77 , 242 , (0.04), 0.91 , 0.04 , 0.84 , 0.03 , 0.07 , 0.43 , 0.33 , 0.76 , 0.03 , 1.74 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 4.90 , 1.80 , 180.00 , 3.87 , 387 ," 1,217 ", 1.46 , 28.72 , 1.15 , 26.51 , 1.06 , 2.21 , 13.79 , 10.34 , 24.12 , 0.96 , 55.23 
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.10 , 0.80 , 80.00 , 1.02 , 102 , 321 , 0.22 , 1.66 , 0.07 , 1.54 , 0.06 , 0.13 , 0.80 , 0.60 , 1.40 , 0.06 , 3.20 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 1.70 , 1.10 , 110.00 , 0.88 , 88 , 276 , 0.08 , 1.21 , 0.05 , 1.11 , 0.04 , 0.09 , 0.58 , 0.43 , 1.01 , 0.04 , 2.32 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 1.00 , 0.70 , 70.00 , 0.78 , 78 , 245 , (0.03), 0.93 , 0.04 , 0.86 , 0.03 , 0.07 , 0.45 , 0.34 , 0.78 , 0.03 , 1.80 
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 3.30 , 1.22 , 122.00 , 2.01 , 201 , 632 , 0.85 , 7.08 , 0.28 , 6.54 , 0.26 , 0.54 , 3.40 , 2.55 , 5.95 , 0.24 , 13.62 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.10 , 0.90 , 90.00 , 1.32 , 132 , 415 , 0.46 , 2.87 , 0.11 , 2.65 , 0.11 , 0.22 , 1.38 , 1.03 , 2.41 , 0.10 , 5.52 
,,,,,,,,,,,,,,,,,,,,
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.80 , 1.20 , 120.00 , 0.99 , 99 , 311 , 0.19 , 1.55 , 0.06 , 1.43 , 0.06 , 0.12 , 0.74 , 0.56 , 1.30 , 0.05 , 2.98 
,,,,,,,,,,,,,,,,,,,,
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 3.80 , 0.90 , 90.00 , 2.34 , 234 , 736 , 0.99 , 9.80 , 0.39 , 9.05 , 0.36 , 0.75 , 4.70 , 3.53 , 8.23 , 0.33 , 18.85 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 1.80 , 1.10 , 110.00 , 0.77 , 77 , 242 , (0.04), 0.91 , 0.04 , 0.84 , 0.03 , 0.07 , 0.43 , 0.33 , 0.76 , 0.03 , 1.74 
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 1.80 , 0.90 , 90.00 , 1.21 , 121 , 380 , 0.38 , 2.38 , 0.10 , 2.20 , 0.09 , 0.18 , 1.14 , 0.86 , 2.00 , 0.08 , 4.58 
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 3.50 , 1.00 , 100.00 , 1.97 , 197 , 619 , 0.83 , 6.76 , 0.27 , 6.24 , 0.25 , 0.52 , 3.24 , 2.43 , 5.67 , 0.23 , 12.99 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 3.10 , 1.40 , 140.00 , 1.32 , 132 , 415 , 0.46 , 2.87 , 0.11 , 2.65 , 0.11 , 0.22 , 1.38 , 1.03 , 2.41 , 0.10 , 5.52 
,,,,,,,,,,,,,,,,,,,,
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.00 , 0.90 , 90.00 , 0.88 , 88 , 276 , 0.08 , 1.21 , 0.05 , 1.11 , 0.04 , 0.09 , 0.58 , 0.43 , 1.01 , 0.04 , 2.32 
