site,year,plot_name,full_plot_name,height_cm,crown_diameter_cm,total_tree_c_kg,total_tree_c_Mg_ha
A,2017,Sample_Plot#09,siteA_2017_plot_09,108,53,0.342,0.022
A,2017,Sample_Plot#08,siteA_2017_plot_08,108,52,0.328,0.021
A,2017,Sample_Plot#16,siteA_2017_plot_16,108,52,0.328,0.021
A,2017,Sample_Plot#08,siteA_2017_plot_08,108,51,0.315,0.02
A,2017,Sample_Plot#16,siteA_2017_plot_16,108,51,0.309,0.02
A,2017,Sample_Plot#17,siteA_2017_plot_17,108,51,0.309,0.02
A,2017,Sample_Plot#16,siteA_2017_plot_16,108,50,0.302,0.02
A,2017,Sample_Plot#16,siteA_2017_plot_16,108,50,0.302,0.02
A,2017,Sample_Plot#08,siteA_2017_plot_08,108,50,0.296,0.019
A,2017,Sample_Plot#12,siteA_2017_plot_12,108,50,0.296,0.019
A,2017,Sample_Plot#08,siteA_2017_plot_08,108,46,0.247,0.016
A,2017,Sample_Plot#16,siteA_2017_plot_16,108,45,0.241,0.016
A,2017,Sample_Plot#17,siteA_2017_plot_17,108,45,0.241,0.016
A,2017,Sample_Plot#19,siteA_2017_plot_19,108,44,0.224,0.015
A,2017,Sample_Plot#08,siteA_2017_plot_08,108,43,0.213,0.014
A,2017,Sample_Plot#08,siteA_2017_plot_08,108,42,0.203,0.013
A,2017,Sample_Plot#12,siteA_2017_plot_12,108,42,0.203,0.013
A,2017,Sample_Plot#19,siteA_2017_plot_19,108,40,0.182,0.012
A,2017,Sample_Plot#14,siteA_2017_plot_14,108,33,0.124,0.008
A,2017,Sample_Plot#16,siteA_2017_plot_16,108,28.000000000000004,0.084,0.005
A,2017,Sample_Plot#19,siteA_2017_plot_19,108,14.000000000000002,0.018,0.001
A,2010,Sample_Plot#04,siteA_2010_plot_04,107,136,2.571,0.167
A,2017,Sample_Plot#23,siteA_2017_plot_23,107,129,2.277,0.148
A,2017,Sample_Plot#28,siteA_2017_plot_28,107,126,2.183,0.142
A,2010,Sample_Plot#06,siteA_2010_plot_06,107,108,1.554,0.101
A,2010,Sample_Plot#05,siteA_2010_plot_05,107,107,1.539,0.1
A,2010,Sample_Plot#07,siteA_2010_plot_07,107,103,1.418,0.092
A,2017,Sample_Plot#28,siteA_2017_plot_28,107,100,1.331,0.086
A,2017,Sample_Plot#09,siteA_2017_plot_09,107,93,1.14,0.074
A,2017,Sample_Plot#14,siteA_2017_plot_14,107,93,1.127,0.073
A,2017,Sample_Plot#27,siteA_2017_plot_27,107,93,1.127,0.073
A,2017,Sample_Plot#29,siteA_2017_plot_29,107,92,1.101,0.072
A,2017,Sample_Plot#14,siteA_2017_plot_14,107,91,1.075,0.07
A,2017,Sample_Plot#26,siteA_2017_plot_26,107,89,1.037,0.067
A,2010,Sample_Plot#02,siteA_2010_plot_02,107,86,0.964,0.063
A,2010,Sample_Plot#01,siteA_2010_plot_01,107,82,0.871,0.057
A,2017,Sample_Plot#12,siteA_2017_plot_12,107,80,0.815,0.053
A,2017,Sample_Plot#09,siteA_2017_plot_09,107,79,0.793,0.052
A,2010,Sample_Plot#02,siteA_2010_plot_02,107,78,0.772,0.05
A,2017,Sample_Plot#09,siteA_2017_plot_09,107,74,0.689,0.045
A,2017,Sample_Plot#28,siteA_2017_plot_28,107,74,0.689,0.045
A,2017,Sample_Plot#14,siteA_2017_plot_14,107,71,0.64,0.042
A,2017,Sample_Plot#28,siteA_2017_plot_28,107,70,0.611,0.04
A,2010,Sample_Plot#03,siteA_2010_plot_03,107,65,0.53,0.034
A,2017,Sample_Plot#17,siteA_2017_plot_17,107,65,0.521,0.034
A,2017,Sample_Plot#16,siteA_2017_plot_16,107,64,0.512,0.033
A,2017,Sample_Plot#12,siteA_2017_plot_12,107,62,0.47,0.031
A,2017,Sample_Plot#12,siteA_2017_plot_12,107,61,0.462,0.03
A,2017,Sample_Plot#14,siteA_2017_plot_14,107,59,0.43,0.028
A,2017,Sample_Plot#09,siteA_2017_plot_09,107,55.00000000000001,0.37,0.024
A,2017,Sample_Plot#23,siteA_2017_plot_23,107,54,0.349,0.023
A,2017,Sample_Plot#12,siteA_2017_plot_12,107,53,0.335,0.022
A,2017,Sample_Plot#09,siteA_2017_plot_09,107,52,0.322,0.021
A,2017,Sample_Plot#16,siteA_2017_plot_16,107,51,0.309,0.02
A,2010,Sample_Plot#02,siteA_2010_plot_02,107,50,0.296,0.019
A,2017,Sample_Plot#17,siteA_2017_plot_17,107,48,0.271,0.018
A,2017,Sample_Plot#17,siteA_2017_plot_17,107,47,0.259,0.017
A,2017,Sample_Plot#08,siteA_2017_plot_08,107,45,0.235,0.015
A,2017,Sample_Plot#09,siteA_2017_plot_09,107,45,0.235,0.015
A,2017,Sample_Plot#12,siteA_2017_plot_12,107,43,0.219,0.014
A,2017,Sample_Plot#23,siteA_2017_plot_23,107,43,0.219,0.014
A,2017,Sample_Plot#17,siteA_2017_plot_17,107,43,0.213,0.014
A,2017,Sample_Plot#09,siteA_2017_plot_09,107,42,0.203,0.013
A,2017,Sample_Plot#19,siteA_2017_plot_19,107,42,0.203,0.013
A,2017,Sample_Plot#08,siteA_2017_plot_08,107,41,0.192,0.012
A,2017,Sample_Plot#23,siteA_2017_plot_23,107,40,0.187,0.012
A,2017,Sample_Plot#17,siteA_2017_plot_17,107,39,0.177,0.012
A,2010,Sample_Plot#04,siteA_2010_plot_04,107,36,0.145,0.009
A,2017,Sample_Plot#16,siteA_2017_plot_16,107,36,0.145,0.009
A,2010,Sample_Plot#06,siteA_2010_plot_06,107,28.000000000000004,0.087,0.006
A,2017,Sample_Plot#16,siteA_2017_plot_16,107,25,0.066,0.004
A,2017,Sample_Plot#16,siteA_2017_plot_16,107,20,0.043,0.003
A,2010,Sample_Plot#01,siteA_2010_plot_01,106,150,3.148,0.204
A,2017,Sample_Plot#14,siteA_2017_plot_14,106,85,0.94,0.061
A,2017,Sample_Plot#08,siteA_2017_plot_08,106,78,0.782,0.051
A,2017,Sample_Plot#12,siteA_2017_plot_12,106,72,0.659,0.043
A,2010,Sample_Plot#02,siteA_2010_plot_02,106,68,0.574,0.037
A,2017,Sample_Plot#08,siteA_2017_plot_08,106,66,0.538,0.035
A,2017,Sample_Plot#12,siteA_2017_plot_12,106,59,0.423,0.027
A,2017,Sample_Plot#16,siteA_2017_plot_16,106,59,0.423,0.027
A,2017,Sample_Plot#09,siteA_2017_plot_09,106,56.99999999999999,0.4,0.026
A,2017,Sample_Plot#14,siteA_2017_plot_14,106,53,0.335,0.022
A,2017,Sample_Plot#16,siteA_2017_plot_16,106,52,0.322,0.021
A,2017,Sample_Plot#09,siteA_2017_plot_09,106,51,0.315,0.02
A,2017,Sample_Plot#08,siteA_2017_plot_08,106,50,0.296,0.019
A,2017,Sample_Plot#12,siteA_2017_plot_12,106,45,0.241,0.016
A,2017,Sample_Plot#12,siteA_2017_plot_12,106,44,0.23,0.015
A,2017,Sample_Plot#16,siteA_2017_plot_16,106,40,0.182,0.012
A,2017,Sample_Plot#17,siteA_2017_plot_17,106,39,0.177,0.012
A,2017,Sample_Plot#16,siteA_2017_plot_16,106,39,0.173,0.011
A,2017,Sample_Plot#12,siteA_2017_plot_12,106,37,0.159,0.01
A,2017,Sample_Plot#16,siteA_2017_plot_16,106,36,0.145,0.009
A,2017,Sample_Plot#17,siteA_2017_plot_17,106,35,0.137,0.009
A,2017,Sample_Plot#08,siteA_2017_plot_08,106,34,0.128,0.008
A,2017,Sample_Plot#08,siteA_2017_plot_08,106,30,0.101,0.007
A,2010,Sample_Plot#07,siteA_2010_plot_07,105,136,2.571,0.167
A,2010,Sample_Plot#01,siteA_2010_plot_01,105,120,1.967,0.128
A,2010,Sample_Plot#02,siteA_2010_plot_02,105,113.99999999999999,1.762,0.114
A,2010,Sample_Plot#04,siteA_2010_plot_04,105,112.00000000000001,1.68,0.109
A,2017,Sample_Plot#35,siteA_2017_plot_35,105,103,1.418,0.092
A,2017,Sample_Plot#16,siteA_2017_plot_16,105,94,1.153,0.075
A,2010,Sample_Plot#07,siteA_2010_plot_07,105,92,1.114,0.072
A,2017,Sample_Plot#23,siteA_2017_plot_23,105,89,1.037,0.067
A,2017,Sample_Plot#14,siteA_2017_plot_14,105,89,1.037,0.067
A,2017,Sample_Plot#26,siteA_2017_plot_26,105,84,0.917,0.06
A,2010,Sample_Plot#04,siteA_2010_plot_04,105,80,0.815,0.053
A,2017,Sample_Plot#14,siteA_2017_plot_14,105,77,0.75,0.049
